LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C2830189,RK09L1120036,ALPSALPINE,,"Through Hole-3P,11.4x10.7mm","±20% 50mW 10kΩ Through Hole-3P,11.4x10.7mm Rotary Potentiometers, Rheostats RoHS",YES,5,2.1221,10.61,,,
C48579599,0805X7R104K101NT,AIDE CAPACITOR,,0805,100nF ±10% 100V Ceramic Capacitor X7R 0805,YES,200,0.0049,0.98,,,
C5149201,SK6812MINI-E,OPSCO Optoelectronics,,SMD,"SMD LED Addressable, Specialty RoHS",YES,50,0.0676,3.38,,,
C167321,918-418K2023S40001,Jing Extension of the Electronic Co.,,SMD,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,YES,5,0.3743,1.87,,,
C107696,RC0603FR-07220RL,YAGEO,,0603,100mW 220Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0012,0.12,,,
C2907044,FRC0603F5101TS,FOJAN,,0603,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.001,0.10,,,
